"Month","Year","Flat Model","Sale Price"
"2010-01","2010","Adjoined flat","4226988"
"2010-01","2010","Apartment","68477309"
"2010-01","2010","Improved","304981914"
"2010-01","2010","Maisonette","40524052"
"2010-01","2010","Model A","261540280"
"2010-01","2010","Model A-Maisonette","2461888"
"2010-01","2010","Model A2","17381800"
"2010-01","2010","Multi Generation","698000"
"2010-01","2010","New Generation","126596221"
"2010-01","2010","Premium Apartment","93441852"
"2010-01","2010","Simplified","46881488"
"2010-01","2010","Standard","41391552"
"2010-01","2010","Terrace","2378500"
"2010-02","2010","Adjoined flat","4051000"
"2010-02","2010","Apartment","48067164"
"2010-02","2010","Improved","240981496"
"2010-02","2010","Maisonette","40325976"
"2010-02","2010","Model A","242472534"
"2010-02","2010","Model A-Maisonette","2762000"
"2010-02","2010","Model A2","13710550"
"2010-02","2010","Multi Generation","1200000"
"2010-02","2010","New Generation","120646390"
"2010-02","2010","Premium Apartment","79618937"
"2010-02","2010","Simplified","39989693"
"2010-02","2010","Standard","33314638"
"2010-02","2010","Terrace","2266223"
"2010-03","2010","Adjoined flat","2933000"
"2010-03","2010","Apartment","69589232"
"2010-03","2010","Improved","329397027"
"2010-03","2010","Maisonette","49234764"
"2010-03","2010","Model A","322745442"
"2010-03","2010","Model A-Maisonette","3757888"
"2010-03","2010","Model A2","18270800"
"2010-03","2010","New Generation","173682589"
"2010-03","2010","Premium Apartment","104465840"
"2010-03","2010","Simplified","53877052"
"2010-03","2010","Standard","48931000"
"2010-03","2010","Terrace","2619000"
"2010-04","2010","Adjoined flat","2815000"
"2010-04","2010","Apartment","68778802"
"2010-04","2010","Improved","330427431"
"2010-04","2010","Maisonette","45657000"
"2010-04","2010","Model A","293124927"
"2010-04","2010","Model A-Maisonette","383000"
"2010-04","2010","Model A2","19982688"
"2010-04","2010","Multi Generation","698000"
"2010-04","2010","New Generation","153417096"
"2010-04","2010","Premium Apartment","93913512"
"2010-04","2010","Simplified","53234101"
"2010-04","2010","Standard","44689000"
"2010-04","2010","Terrace","2013000"
"2010-05","2010","Adjoined flat","3980000"
"2010-05","2010","Apartment","57178068"
"2010-05","2010","Improved","307770388"
"2010-05","2010","Improved-Maisonette","1060000"
"2010-05","2010","Maisonette","43606281"
"2010-05","2010","Model A","271867941"
"2010-05","2010","Model A-Maisonette","3255000"
"2010-05","2010","Model A2","14979576"
"2010-05","2010","New Generation","148029896"
"2010-05","2010","Premium Apartment","95174798"
"2010-05","2010","Simplified","51305476"
"2010-05","2010","Standard","43705788"
"2010-05","2010","Terrace","3454000"
"2010-06","2010","Adjoined flat","6370000"
"2010-06","2010","Apartment","83678652"
"2010-06","2010","Improved","407643160"
"2010-06","2010","Improved-Maisonette","465000"
"2010-06","2010","Maisonette","53606688"
"2010-06","2010","Model A","340524911"
"2010-06","2010","Model A-Maisonette","1785888"
"2010-06","2010","Model A2","19561076"
"2010-06","2010","Multi Generation","592000"
"2010-06","2010","New Generation","180974195"
"2010-06","2010","Premium Apartment","109938816"
"2010-06","2010","Simplified","64970656"
"2010-06","2010","Standard","59800176"
"2010-06","2010","Terrace","1196000"
"2010-07","2010","Adjoined flat","6716000"
"2010-07","2010","Apartment","93323664"
"2010-07","2010","Improved","406719760"
"2010-07","2010","Maisonette","56080776"
"2010-07","2010","Model A","375997837"
"2010-07","2010","Model A-Maisonette","5394000"
"2010-07","2010","Model A2","19552076"
"2010-07","2010","Multi Generation","600000"
"2010-07","2010","New Generation","205284192"
"2010-07","2010","Premium Apartment","117859252"
"2010-07","2010","Simplified","62462314"
"2010-07","2010","Standard","65947264"
"2010-07","2010","Terrace","673000"
"2010-08","2010","2-room","255000"
"2010-08","2010","Adjoined flat","4772888"
"2010-08","2010","Apartment","78457404"
"2010-08","2010","Improved","354753916"
"2010-08","2010","Improved-Maisonette","525000"
"2010-08","2010","Maisonette","51872188"
"2010-08","2010","Model A","345011873"
"2010-08","2010","Model A-Maisonette","5259000"
"2010-08","2010","Model A2","17003888"
"2010-08","2010","New Generation","196339866"
"2010-08","2010","Premium Apartment","104897694"
"2010-08","2010","Simplified","61923264"
"2010-08","2010","Standard","58240788"
"2010-08","2010","Terrace","2705000"
"2010-09","2010","2-room","258000"
"2010-09","2010","Adjoined flat","3032000"
"2010-09","2010","Apartment","78033269"
"2010-09","2010","Improved","361268157"
"2010-09","2010","Maisonette","53204400"
"2010-09","2010","Model A","304336034"
"2010-09","2010","Model A-Maisonette","3978188"
"2010-09","2010","Model A2","25817299"
"2010-09","2010","New Generation","175792649"
"2010-09","2010","Premium Apartment","86482877"
"2010-09","2010","Simplified","51613242"
"2010-09","2010","Standard","48786853"
"2010-09","2010","Terrace","1588000"
"2010-10","2010","Adjoined flat","2194800"
"2010-10","2010","Apartment","62615450"
"2010-10","2010","Improved","330698966"
"2010-10","2010","Maisonette","51101787"
"2010-10","2010","Model A","279966740"
"2010-10","2010","Model A-Maisonette","2580000"
"2010-10","2010","Model A2","18201376"
"2010-10","2010","Multi Generation","1916888"
"2010-10","2010","New Generation","161777335"
"2010-10","2010","Premium Apartment","102416353"
"2010-10","2010","Premium Maisonette","1565000"
"2010-10","2010","Simplified","46879296"
"2010-10","2010","Standard","50323900"
"2010-10","2010","Terrace","2041000"
"2010-11","2010","Adjoined flat","1769000"
"2010-11","2010","Apartment","48994176"
"2010-11","2010","Improved","252273414"
"2010-11","2010","Maisonette","36049940"
"2010-11","2010","Model A","235588278"
"2010-11","2010","Model A-Maisonette","1808000"
"2010-11","2010","Model A2","15112488"
"2010-11","2010","New Generation","139677952"
"2010-11","2010","Premium Apartment","65777076"
"2010-11","2010","Simplified","42720000"
"2010-11","2010","Standard","36881500"
"2010-11","2010","Terrace","725000"
"2010-12","2010","Adjoined flat","1253000"
"2010-12","2010","Apartment","47817488"
"2010-12","2010","Improved","246951596"
"2010-12","2010","Maisonette","30271276"
"2010-12","2010","Model A","216355991"
"2010-12","2010","Model A-Maisonette","2695000"
"2010-12","2010","Model A2","14548050"
"2010-12","2010","Multi Generation","1702000"
"2010-12","2010","New Generation","118990940"
"2010-12","2010","Premium Apartment","62313707"
"2010-12","2010","Simplified","37231888"
"2010-12","2010","Standard","30050656"
"2010-12","2010","Terrace","2253000"
"2011-01","2011","Adjoined flat","861000"
"2011-01","2011","Apartment","48703276"
"2011-01","2011","Improved","244422654"
"2011-01","2011","Improved-Maisonette","530000"
"2011-01","2011","Maisonette","36339964"
"2011-01","2011","Model A","217806048"
"2011-01","2011","Model A-Maisonette","1487000"
"2011-01","2011","Model A2","14090800"
"2011-01","2011","Multi Generation","640000"
"2011-01","2011","New Generation","131749028"
"2011-01","2011","Premium Apartment","75546428"
